loss,C4 Eval Loss,N,N_no_emb,D,C,C_no_emb,C_6ND,C_6ND_no_emb,portion_steps_elapsed,model,train_tokens,total_steps,current_steps,total_epochs,current_epoch,peak_lr,sweep
4.1117506432347,4.1117506432347,62052928,16865856,1048576000,390403266188673024,106110790931841024,390403266183168000,106110790926336000,1.0,misfitting_17m,1048576000,1000,1000,2,2,0.002,2024_11_10-23_08_29_sweep_test
3.90478907385841,3.90478907385841,62052928,16865856,1310720000,488004082734465024,132638488663425024,488004082728960000,132638488657920000,1.0,misfitting_17m,1310720000,1250,1250,10,10,0.004,2024_11_10-23_08_29_sweep_test
4.007070607505739,4.007070607505739,62052928,16865856,1048576000,390403266188673024,106110790931841024,390403266183168000,106110790926336000,1.0,misfitting_17m,1048576000,1000,1000,8,8,0.004,2024_11_10-23_08_29_sweep_test
3.924036198761314,3.924036198761314,62052928,16865856,1572864000,585604899280257024,159166186395009024,585604899274752000,159166186389504000,1.0,misfitting_17m,1572864000,1500,1500,2,2,0.004,2024_11_10-23_08_29_sweep_test
4.1117506432347,4.1117506432347,62052928,16865856,1048576000,390403266188673024,106110790931841024,390403266183168000,106110790926336000,1.0,misfitting_17m,1048576000,1000,1000,8,8,0.002,2024_11_10-23_08_29_sweep_test
5.56482557579875,5.56482557579875,62052928,16865856,209715200,78080653242138624,21222158190772224,78080653236633600,21222158185267200,1.0,misfitting_17m,209715200,200,200,2,2,0.002,2024_11_10-23_08_29_sweep_test
3.836628066841513,3.836628066841513,62052928,16865856,1572864000,585604899280257024,159166186395009024,585604899274752000,159166186389504000,1.0,misfitting_17m,1572864000,1500,1500,2,2,0.002,2024_11_10-23_08_29_sweep_test
4.528034217655659,4.528034217655659,62052928,16865856,524288000,195201633097089024,53055395468673024,195201633091584000,53055395463168000,1.0,misfitting_17m,524288000,500,500,4,4,0.004,2024_11_10-23_08_29_sweep_test
4.296366647351533,4.296366647351533,62052928,16865856,786432000,292802449642881024,79583093200257024,292802449637376000,79583093194752000,1.0,misfitting_17m,786432000,750,750,2,2,0.004,2024_11_10-23_08_29_sweep_test
4.645288739353418,4.645288739353418,62052928,16865856,524288000,195201633097089024,53055395468673024,195201633091584000,53055395463168000,1.0,misfitting_17m,524288000,500,500,4,4,0.002,2024_11_10-23_08_29_sweep_test
3.924036198761314,3.924036198761314,62052928,16865856,1572864000,585604899280257024,159166186395009024,585604899274752000,159166186389504000,1.0,misfitting_17m,1572864000,1500,1500,12,12,0.002,2024_11_10-23_08_29_sweep_test
4.645288739353418,4.645288739353418,62052928,16865856,524288000,195201633097089024,53055395468673024,195201633091584000,53055395463168000,1.0,misfitting_17m,524288000,500,500,1,1,0.002,2024_11_10-23_08_29_sweep_test
4.563565105199814,4.563565105199814,62052928,16865856,524288000,195201633097089024,53055395468673024,195201633091584000,53055395463168000,1.0,misfitting_17m,524288000,500,500,4,4,0.008,2024_11_10-23_08_29_sweep_test
2.9692143041938834,2.9692143041938834,1182757632,1002009344,20971520000,148825352007865860096,126081953987319300096,148825352007843840000,126081953987297280000,1.0,misfitting_1b,20971520000,20000,20000,40,40,0.004,2024_11_24-23_54_32_sweep_test
3.347181135439314,3.347181135439314,76816896,25174528,16777216000,7732641939855507456,2534150963730579456,7732641939849216000,2534150963724288000,1.0,misfitting_25m,16777216000,16000,16000,125,125,0.002,2024_11_26-18_29_36_sweep_test
3.3918841619743034,3.3918841619743034,76816896,25174528,16777216000,7732641939855507456,2534150963730579456,7732641939849216000,2534150963724288000,1.0,misfitting_25m,16777216000,16000,16000,125,125,0.001,2024_11_26-18_29_36_sweep_test
3.334635377745144,3.334635377745144,76816896,25174528,16777216000,7732641939855507456,2534150963730579456,7732641939849216000,2534150963724288000,1.0,misfitting_25m,16777216000,16000,16000,125,125,0.004,2024_11_26-18_29_36_sweep_test
3.291296598268673,3.291296598268673,176576256,99112704,4194304000,4443686981084381184,2494252865037533184,4443686981074944000,2494252865028096000,1.0,misfitting_100m,4194304000,4000,4000,32,32,0.002,2024_11_21-00_00_55_sweep_test
